G1 Model,G2 Reference Model,Family,Stages,Motor kW,Motor HP,Connection,Full Impellers,Small Impellers,Smallest Impellers
CHC 12-1,CHC 12-10,CHC 12,1,1.5,2,DN50,1,0,0
CHC 12-2,CHC 12-20,CHC 12,2,1.5,2,DN50,2,0,0
CHC 12-3,CHC 12-30,CHC 12,3,2.2,3,DN50,3,0,0
CHC 12-4,CHC 12-40,CHC 12,4,3,4,DN50,4,0,0
CHC 12-5,CHC 12-50,CHC 12,5,3,4,DN50,5,0,0
CHC 12-6,CHC 12-60,CHC 12,6,4,5.5,DN50,6,0,0
CHC 12-7,CHC 12-70,CHC 12,7,5.5,7.5,DN50,7,0,0
CHC 12-8,CHC 12-80,CHC 12,8,5.5,7.5,DN50,8,0,0
CHC 12-9,CHC 12-90,CHC 12,9,5.5,7.5,DN50,9,0,0
CHC 12-10,CHC 12-100,CHC 12,10,7.5,10,DN50,10,0,0
CHC 12-11,CHC 12-110,CHC 12,11,7.5,10,DN50,11,0,0
CHC 12-12,CHC 12-120,CHC 12,12,7.5,10,DN50,12,0,0
CHC 12-13,CHC 12-130,CHC 12,13,11,15,DN50,13,0,0
CHC 12-14,CHC 12-140,CHC 12,14,11,15,DN50,14,0,0
CHC 12-15,CHC 12-150,CHC 12,15,11,15,DN50,15,0,0
CHC 12-16,CHC 12-160,CHC 12,16,11,15,DN50,16,0,0
CHC 12-17,CHC 12-170,CHC 12,17,11,15,DN50,17,0,0
CHC 12-18,CHC 12-180,CHC 12,18,11,15,DN50,18,0,0
CHC 15-1,CHC 15-10,CHC 15,1,1.1,1.5,DN50,1,0,0
CHC 15-2,CHC 15-20,CHC 15,2,2.2,3,DN50,2,0,0
CHC 15-3,CHC 15-30,CHC 15,3,3,4,DN50,3,0,0
CHC 15-4,CHC 15-40,CHC 15,4,4,5.5,DN50,4,0,0
CHC 15-5,CHC 15-50,CHC 15,5,4,5.5,DN50,5,0,0
CHC 15-6,CHC 15-60,CHC 15,6,5.5,7.5,DN50,6,0,0
CHC 15-7,CHC 15-70,CHC 15,7,5.5,7.5,DN50,7,0,0
CHC 15-8,CHC 15-80,CHC 15,8,7.5,10,DN50,8,0,0
CHC 15-9,CHC 15-90,CHC 15,9,7.5,10,DN50,9,0,0
CHC 15-10,CHC 15-100,CHC 15,10,11,15,DN50,10,0,0
CHC 15-11,CHC 15-110,CHC 15,11,11,15,DN50,11,0,0
CHC 15-12,CHC 15-120,CHC 15,12,11,15,DN50,12,0,0
CHC 15-13,CHC 15-130,CHC 15,13,11,15,DN50,13,0,0
CHC 15-14,CHC 15-140,CHC 15,14,11,15,DN50,14,0,0
CHC 15-15,CHC 15-150,CHC 15,15,15,20,DN50,15,0,0
CHC 15-16,CHC 15-160,CHC 15,16,15,20,DN50,16,0,0
CHC 15-17,CHC 15-170,CHC 15,17,15,20,DN50,17,0,0
CHC 16-1,CHC 16-10,CHC 16,1,1.1,1.5,DN50,1,0,0
CHC 16-2,CHC 16-20,CHC 16,2,2.2,3,DN50,2,0,0
CHC 16-3,CHC 16-30,CHC 16,3,3,4,DN50,3,0,0
CHC 16-4,CHC 16-40,CHC 16,4,4,5.5,DN50,4,0,0
CHC 16-5,CHC 16-50,CHC 16,5,4,5.5,DN50,5,0,0
CHC 16-6,CHC 16-60,CHC 16,6,5.5,7.5,DN50,6,0,0
CHC 16-7,CHC 16-70,CHC 16,7,5.5,7.5,DN50,7,0,0
CHC 16-8,CHC 16-80,CHC 16,8,7.5,10,DN50,8,0,0
CHC 16-9,CHC 16-90,CHC 16,9,7.5,10,DN50,9,0,0
CHC 16-10,CHC 16-100,CHC 16,10,11,15,DN50,10,0,0
CHC 16-11,CHC 16-110,CHC 16,11,11,15,DN50,11,0,0
CHC 16-12,CHC 16-120,CHC 16,12,11,15,DN50,12,0,0
CHC 16-13,CHC 16-130,CHC 16,13,11,15,DN50,13,0,0
CHC 16-14,CHC 16-140,CHC 16,14,11,15,DN50,14,0,0
CHC 16-15,CHC 16-150,CHC 16,15,15,20,DN50,15,0,0
CHC 16-16,CHC 16-160,CHC 16,16,15,20,DN50,16,0,0
CHC 16-17,CHC 16-170,CHC 16,17,15,20,DN50,17,0,0
CHC 20-1,CHC 20-10,CHC 20,1,1.1,1.5,DN50,1,0,0
CHC 20-2,CHC 20-20,CHC 20,2,2.2,3,DN50,2,0,0
CHC 20-3,CHC 20-30,CHC 20,3,4,5.5,DN50,3,0,0
CHC 20-4,CHC 20-40,CHC 20,4,5.5,7.5,DN50,4,0,0
CHC 20-5,CHC 20-50,CHC 20,5,5.5,7.5,DN50,5,0,0
CHC 20-6,CHC 20-60,CHC 20,6,7.5,10,DN50,6,0,0
CHC 20-7,CHC 20-70,CHC 20,7,7.5,10,DN50,7,0,0
CHC 20-8,CHC 20-80,CHC 20,8,11,15,DN50,8,0,0
CHC 20-9,CHC 20-90,CHC 20,9,11,15,DN50,9,0,0
CHC 20-10,CHC 20-100,CHC 20,10,11,15,DN50,10,0,0
CHC 20-11,CHC 20-110,CHC 20,11,15,20,DN50,11,0,0
CHC 20-12,CHC 20-120,CHC 20,12,15,20,DN50,12,0,0
CHC 20-13,CHC 20-130,CHC 20,13,15,20,DN50,13,0,0
CHC 20-14,CHC 20-140,CHC 20,14,15,20,DN50,14,0,0
CHC 20-15,CHC 20-150,CHC 20,15,18.5,25,DN50,15,0,0
CHC 20-16,CHC 20-160,CHC 20,16,18.5,25,DN50,16,0,0
CHC 20-17,CHC 20-170,CHC 20,17,18.5,25,DN50,17,0,0
CHC 32-1-1,CHC 32-10-1,CHC 32,1,1.5,2,DN65,0,1,0
CHC 32-1,CHC 32-10,CHC 32,1,2.2,3,DN65,1,0,0
CHC 32-2-2,CHC 32-20-2,CHC 32,2,3,4,DN65,0,2,0
CHC 32-2,CHC 32-20,CHC 32,2,4,5.5,DN65,2,0,0
CHC 32-3-2,CHC 32-30-2,CHC 32,3,4,5.5,DN65,1,2,0
CHC 32-3,CHC 32-30,CHC 32,3,5.5,7.5,DN65,3,0,0
CHC 32-4-2,CHC 32-40-2,CHC 32,4,7.5,10,DN65,2,2,0
CHC 32-4,CHC 32-40,CHC 32,4,7.5,10,DN65,4,0,0
CHC 32-5-2,CHC 32-50-2,CHC 32,5,11,15,DN65,3,2,0
CHC 32-5,CHC 32-50,CHC 32,5,11,15,DN65,5,0,0
CHC 32-6-2,CHC 32-60-2,CHC 32,6,11,15,DN65,4,2,0
CHC 32-6,CHC 32-60,CHC 32,6,11,15,DN65,6,0,0
CHC 32-7-2,CHC 32-70-2,CHC 32,7,15,20,DN65,5,2,0
CHC 32-7,CHC 32-70,CHC 32,7,15,20,DN65,7,0,0
CHC 32-8-2,CHC 32-80-2,CHC 32,8,15,20,DN65,6,2,0
CHC 32-8,CHC 32-80,CHC 32,8,15,20,DN65,8,0,0
CHC 32-9-2,CHC 32-90-2,CHC 32,9,18.5,25,DN65,7,2,0
CHC 32-9,CHC 32-90,CHC 32,9,18.5,25,DN65,9,0,0
CHC 32-10-2,CHC 32-100-2,CHC 32,10,18.5,25,DN65,8,2,0
CHC 32-10,CHC 32-100,CHC 32,10,18.5,25,DN65,10,0,0
CHC 32-11-2,CHC 32-110-2,CHC 32,11,22,30,DN65,9,2,0
CHC 32-11,CHC 32-110,CHC 32,11,22,30,DN65,11,0,0
CHC 32-12-2,CHC 32-120-2,CHC 32,12,22,30,DN65,10,2,0
CHC 32-12,CHC 32-120,CHC 32,12,22,30,DN65,12,0,0
CHC 32-13-2,CHC 32-130-2,CHC 32,13,30,40,DN65,11,2,0
CHC 32-13,CHC 32-130,CHC 32,13,30,40,DN65,13,0,0
CHC 32-14-2,CHC 32-140-2,CHC 32,14,30,40,DN65,12,2,0
CHC 32-14,CHC 32-140,CHC 32,14,30,40,DN65,14,0,0
CHC 45-1-1,CHC 45-10-1,CHC 45,1,3,4,DN80,0,1,0
CHC 45-1,CHC 45-10,CHC 45,1,4,5.5,DN80,1,0,0
CHC 45-2-2,CHC 45-20-2,CHC 45,2,5.5,7.5,DN80,0,2,0
CHC 45-2,CHC 45-20,CHC 45,2,7.5,10,DN80,2,0,0
CHC 45-3-2,CHC 45-30-2,CHC 45,3,11,15,DN80,1,2,0
CHC 45-3,CHC 45-30,CHC 45,3,11,15,DN80,3,0,0
CHC 45-4-2,CHC 45-40-2,CHC 45,4,15,20,DN80,2,2,0
CHC 45-4,CHC 45-40,CHC 45,4,15,20,DN80,4,0,0
CHC 45-5-2,CHC 45-50-2,CHC 45,5,18.5,25,DN80,3,2,0
CHC 45-5,CHC 45-50,CHC 45,5,18.5,25,DN80,5,0,0
CHC 45-6-2,CHC 45-60-2,CHC 45,6,22,30,DN80,4,2,0
CHC 45-6,CHC 45-60,CHC 45,6,22,30,DN80,6,0,0
CHC 45-7-2,CHC 45-70-2,CHC 45,7,30,40,DN80,5,2,0
CHC 45-7,CHC 45-70,CHC 45,7,30,40,DN80,7,0,0
CHC 45-8-2,CHC 45-80-2,CHC 45,8,30,40,DN80,6,2,0
